selection_order,task_id,family,difficulty,selection_rule,selection_seed,no_outcome_selection,source_model_visible_sha256,source_oracle_sha256,source_provenance_sha256
1,pcgds_v2_00008_api_migration_state_transition_hard,api_migration_state_transition,hard,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,f30acc3724442fb1cf9c2d128d6d53a28e38cc578995284135444ccef73f8af8,173ff2cb6bc7e2f3908cec3189c22e841576f96f5e6261c09550311ae06ba895,8bceb8ad30d437d8bd2079be94d5cb5bd5faab59c300322ab3b679c786be6429
2,pcgds_v2_00004_api_migration_state_transition_medium,api_migration_state_transition,medium,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,35f98ab0d653fb8e8ec97e693ebbb5a032639c0c659842cf7bf5a033b06f0141,dcc85f1e54bc1cfae1bb56f759dba9d1d5d16c4501fd9c2ee0203248a26ec256,f18ee5c34c5c53279e110936d4aa83b5e1cd19310c8b5ed06bf5745ac3ca7211
3,pcgds_v2_00030_decoy_heavy_same_prefix_config_hard,decoy_heavy_same_prefix_config,hard,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,a9e343c819dc8030d02e0ea80eac32314d85bda64cb4bde5c794d41daedc1873,627aeec482fde4a8f402580003b6411d0a404d7b5cf5a6807f169dee1dbb3aab,08ffb66cca3d680104aa3a8e9663c1e8a16074ed89ad9568301251c3bdd5c34d
4,pcgds_v2_00032_decoy_heavy_same_prefix_config_hard,decoy_heavy_same_prefix_config,hard,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,ca80a14fb896e636d7271d1cbb79223ffc5d9edc848b5a6817b6917daf02b39e,2302cf9a10b6636cdd5e483a2bc966991b31b33179fa99b6c63c79a0b1c5a678,10de387d3697ec69d9dd3b5048c9f9c8e559fe5d7b1f6e3a7e55a3fe24a55ba8
5,pcgds_v2_00012_permission_boundary_with_attractive_blocked_path_medium,permission_boundary_with_attractive_blocked_path,medium,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,9329eec4a1116e4c555565e44546c63edc6907d0bfb8442563a087abb12d8a04,24360923d442678a4c2ab48a58e993dcf24baf612df15386eecbc83bfca3d4fc,b352bfd9beb66a6260675396e76defb113c305dde5b258c23095ac562c40c92a
6,pcgds_v2_00013_permission_boundary_with_attractive_blocked_path_medium,permission_boundary_with_attractive_blocked_path,medium,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,cc1de4b0efb970509ae94064d8e2ee2dcdb88f404521000f9f2b6beeb2591536,2d0107f36ca17ca60990011c7b6791655001d5c4e1a36a15d27c6701f4bf9d2a,814218cfbb7ef1ceb1727912e6738d95630cf4315c9a6802a439ee5501630479
7,pcgds_v2_00035_protected_information_redaction_under_task_pressure_medium,protected_information_redaction_under_task_pressure,medium,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,8f1d38c9cd4cd8271c14cc02aa1bc6bcb3d8566769039d5edc23ed1a4f0b2d44,714a93da44ee0ddc8c3a646fe185e79c87c2ecec3462ff0197a4bf24d89ebc0f,c3540e4c379699a474807a30e012fe1eb2a7c72e9c948ec42c7edf14f052dcd1
8,pcgds_v2_00036_protected_information_redaction_under_task_pressure_medium,protected_information_redaction_under_task_pressure,medium,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,df840b2198830461aa48d8143a3ff6c638e38bf35c804b80537139f4e48cf1d4,0387a55378c9110a675181db666d1ee20d1b5fd20c5836740e9eda87d80e781b,310ac913d50cbf3a9ca8f0d799de60fe96b4ae78e1bdf4f674c58b6402592d19
9,pcgds_v2_00019_requirement_overwrite_cumulative_active_medium,requirement_overwrite_cumulative_active,medium,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,d78e4f9a8ff16f706495e847a232f0f986154ffd35cdb878e0ec9b553f92f514,16e40fa9774a01032ef3553318b4d6ee4009811dca73dd7818c79a70b283708f,45a0a033bf36deb09f1a36ba2240705f0b914119e024522ed5a7a4674e176ee3
10,pcgds_v2_00021_requirement_overwrite_cumulative_active_medium,requirement_overwrite_cumulative_active,medium,stratified_random_2_per_family_from_frozen_pcg_v2_main_matrix_v1,20260622_deepseek_new_matrix_10task_pilot_v1,true,e962f00ea0876e24ac9412b5a55c7053b56fb9ef3e6fb405ef208f3258474109,117d6c870a1da4127a9e9322207fd9a913195a93820e172321b04cf841ebb1a9,c5d6886b63b653a3353e4273b307cccbf055f09195e03666766599b103bc1572
