answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,experiment_id,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,raw_response_sha256,reasoning_content_present,reasoning_tokens_observed,record_mode_created_at_utc,record_mode_role,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,task_id
True,False,[],False,False,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget300::run1,200,False,92402edb2e575231bc53cd54b16737bc6efcd3234272b048493711785e06e867,budget300_diagnostic,False,mature_ssr_loop,4c474063059a6491407e637d5bd2d1e5ad3a54b759558a5f6245c62c6bacb642,[],deepseek-v4-pro,deepseek_v4pro,False,False,cf246fae8a26a6150737ee1ca6d9bd8c0287e58dbe3a5c36d139ab0b594b08bc,False,[],False,deepseek,3,cc64de467a4e005cc385f4523624bdbb908c19693019329eb58bf9f74329dc94,False,,2026-06-29T04:49:52Z,budget300_diagnostic,True,True,deepseek-v4-pro,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::rolling_summary::budget300::run1,200,False,fd9a856a70268447ae13139d396e6e37a640f066489e615f7aea5fa394d9842e,budget300_diagnostic,True,rolling_summary,bed521608061f8966be4fa0af02fa6a27230cd0e24c437961d476f7d54159ac2,[],deepseek-v4-pro,deepseek_v4pro,False,False,024ccdf8010e9d2958161552f889317efed2c97c26396243f5d6e9736d43936b,False,[],False,deepseek,4,98698fbfc32d65945dc2152155efc03aeb76a07b0d01e191f7264433a5ef5a61,False,,2026-06-29T04:49:54Z,budget300_diagnostic,False,False,deepseek-v4-pro,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': True}",False,False,True,True,0.666667,True,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::rolling_visible_carry_forward::budget300::run1,200,False,92285c3e85fa8719acea9142811236a20c1e7c232bc89c9e803965d2081dc4e7,budget300_diagnostic,True,rolling_visible_carry_forward,1374c9171eb017794f2c60749bbe089011aaf00be5a6d9a95f39d481634bc02d,[],deepseek-v4-pro,deepseek_v4pro,False,False,7e3434b4c54daf981e3dd84bd0341783ebb8b5df1963358a51921c1857bb029f,False,[],False,deepseek,4,7d2c8d484817b845ce328b13967e961e2073aad98d3b90bcffd681f76a6a5be9,False,,2026-06-29T04:49:55Z,budget300_diagnostic,False,False,deepseek-v4-pro,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::rolling_visible_carry_forward::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['BOUNDARY', 'NOTE'], 'required_token_present_in_state': True}",True,True,True,False,0.666667,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,['src/api/unit_01_e43288.py'],True,True,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::ssr_no_visible_carry::budget300::run1,200,False,04746ed24f424ee0b66e0dfe99e0d0c7d300b1ecbe81f516affeb7fe7e879611,budget300_diagnostic,True,ssr_no_visible_carry,b78839b767f8edce235f090b9835976e7d8ece0cda9a730d03afe6879a559bab,[],deepseek-v4-pro,deepseek_v4pro,False,False,cc22e6d7ea8538e741462e4ec9dbed10587d031a0c91e65fccdb03b88fb0775b,False,[],False,deepseek,4,a23c294fa594930788bb1211898c74812410bb98a917a864d4e3a07e4197197c,False,,2026-06-29T04:49:55Z,budget300_diagnostic,False,False,deepseek-v4-pro,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::ssr_no_visible_carry::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.333333,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget300::run1,200,False,9dc8ed7e7c127804aa70bed999d362b43589139e736c86b89b1a762b027b64a3,budget300_diagnostic,True,mature_ssr_loop,0bc1f5f8755fecfe534553f246063e627ae796fba98f3a8ca714567e6b184147,[],deepseek-v4-pro,deepseek_v4pro,False,True,2efdd96f074298e9be132e2b544daa200efba675509f8c59bb36588b2429486e,False,['API_02_76155B'],True,deepseek,3,27eb6644a6df16de9e103cc1e75e4019790c46cd1220a5865817889826aa57be,False,,2026-06-29T04:49:53Z,budget300_diagnostic,False,False,deepseek-v4-pro,0,1.0,,,True,['API_02_9926B2'],True,pcgds_v2_00002_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,True,True,0.0,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
False,False,[],False,False,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::deepseek_v4pro::rolling_summary::budget300::run1,200,False,83982a2a148f50a2f926f820b18c1713db50b3be3f163b73d82a33e4602f2797,budget300_diagnostic,True,rolling_summary,c39dea35c13ec867ac72a87ee1234db2a58613d27294d3671fbccf8bf87ce88e,"['API_02_331C5D', 'API_02_486764', 'API_02_E90D41']",deepseek-v4-pro,deepseek_v4pro,False,False,2bf3ad4aa22a25919883938ad0235401a598a83141d78c3a6b2765bf77c025fc,False,[],False,deepseek,4,3b872b3dd0d6f2725811ef4d8da8c8dcaee09bd111406830ae7825ebce578018,False,,2026-06-29T04:49:52Z,budget300_diagnostic,False,False,deepseek-v4-pro,3,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::deepseek_v4pro::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,['API_02_C8575F'],True,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': False}",False,False,True,True,0.0,False,False,0.0,pcgds_v2_00002_api_migration_state_transition_easy
True,False,[],False,False,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::deepseek_v4pro::rolling_visible_carry_forward::budget300::run1,200,False,111e54f9688e32c597af7ca8215e6889075654800a5905a4584a622b45ba5d3d,budget300_diagnostic,True,rolling_visible_carry_forward,ea6636d81949f9ab0dba347afee2b9feda9802da502ff99ea97a445439f6b468,[],deepseek-v4-pro,deepseek_v4pro,False,True,14a9763effa1d70654cc75d9999b60bec344f63365c5daa5e46edf9fcc0d3b31,False,[],False,deepseek,4,112d1c31cbc7e5c8642985924ad54b5bf7b4a686d0a40fff9ae4e1f6f907611d,False,,2026-06-29T04:49:54Z,budget300_diagnostic,False,False,deepseek-v4-pro,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::deepseek_v4pro::rolling_visible_carry_forward::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['NOTE', 'VISIBLE_KEEP'], 'required_token_present_in_state': True}",False,False,True,True,0.571429,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
True,False,[],False,False,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::deepseek_v4pro::ssr_no_visible_carry::budget300::run1,200,False,213efbcc6588107eda60c4792ea07fabf082e46e38119f752fdabf2c40d27aa1,budget300_diagnostic,True,ssr_no_visible_carry,2390d0a9d5d8a9a3fe3600a4333f6c68771630bf07f21540f0cf2a5cfffb1153,[],deepseek-v4-pro,deepseek_v4pro,False,True,09e6e26eb2fde9b2baefc155dbb4b8d5723296bb14b0c31ba94848db9a58a64e,False,[],False,deepseek,4,d183f2b00155764bd73435344ff7b248e7a7134d21aca7e5126f5089f6f9c31d,False,,2026-06-29T04:49:56Z,budget300_diagnostic,False,False,deepseek-v4-pro,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::deepseek_v4pro::ssr_no_visible_carry::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.428571,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
False,False,[],False,False,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00003_api_migration_state_transition_medium::deepseek_v4pro::mature_ssr_loop::budget300::run1,200,False,7968f34882a6fd80d8e44f79ca32f87b299a0f8403ad0639a7e4a954ba3049db,budget300_diagnostic,False,mature_ssr_loop,31a28b1825a188f5347e791a8a6503e8e3ceea46b9a40b740145ff50eab24684,"['API_03_D048D7', 'API_03_DE2EBD']",deepseek-v4-pro,deepseek_v4pro,False,False,475f70d3aec35ed8c332689d362b782e329ddcaa9b9af862c2bb2c38a31b9a27,False,[],False,deepseek,5,2d98d4d384e48cb0cec8d87e951c6b92d787089aecf032be2efae579c4f897fe,False,,2026-06-29T04:50:05Z,budget300_diagnostic,False,False,deepseek-v4-pro,2,0.5,,,True,[],False,pcgds_v2_00003_api_migration_state_transition_medium::deepseek_v4pro::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,False,False,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,True,False,0.0,False,True,0.0,pcgds_v2_00003_api_migration_state_transition_medium
False,False,[],False,False,300,False,deepseek-v4-pro,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00003_api_migration_state_transition_medium::deepseek_v4pro::rolling_summary::budget300::run1,200,False,acb392e52c6978221a6133f023ce1fbfcd7dbce4c13dd8eb5be78f6355cc879c,budget300_diagnostic,False,rolling_summary,0d6b90b9c2c73cbc67bc12a0c295033680a366f13a62d35690e0a16df5ecf27b,"['API_03_14E3A9', 'API_03_387C99', 'API_03_D048D7', 'API_03_DE2EBD']",deepseek-v4-pro,deepseek_v4pro,False,False,5407bcdd95a44a5e0df175738d0c1e97743996ed81d347d94cabc462bcff1cbc,False,[],False,deepseek,6,22e106fa6a8f60b99bb21111a0949cd1a8a6a6a415b75356e2f4c9bc6f0803e6,False,,2026-06-29T04:49:57Z,budget300_diagnostic,False,False,deepseek-v4-pro,4,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00003_api_migration_state_transition_medium::deepseek_v4pro::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['SUMMARY'], 'required_token_present_in_state': False}",True,True,True,False,0.0,False,False,0.0,pcgds_v2_00003_api_migration_state_transition_medium
