answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,experiment_id,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,raw_response_sha256,reasoning_content_present,reasoning_tokens_observed,record_mode_created_at_utc,record_mode_role,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,task_id
False,False,[],False,False,1200,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget1200::run1,200,False,fe950c6eefac0cf5703c9dbce2dec3dd885b40cd4dfd4e1a811d3492154028ad,confirmatory_primary,False,loop_only,0335808eb3e80e5079ef0c17ec025d3ca84f6a3c2e5a3fb163c0c5021181a2ed,"['API_01_10BBFA', 'API_01_C1FFF0']",kimi-k2.6,kimi_k26,False,False,9a4bd56ec90b5006b7d41aea58b4cae9de1a423d07e9a96c0bbcb8a47b566f08,True,[],False,moonshot,4,d5470305a4b5f654d2363f69a006b65abea6b8553cb4a00c9cdd9f93c8b56371,False,,2026-06-29T01:31:28Z,confirmatory,False,False,kimi-k2.6,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget1200::run2,200,False,b7edb100558585f61eaa14f41d21b4c7bf54d6934412c76abe2f65de96214820,confirmatory_primary,False,loop_only,34d64ef563bb9848436d7a435be5810c8f2b5d5c459a2136ab2095741d7de82a,"['API_01_10BBFA', 'API_01_C1FFF0']",kimi-k2.6,kimi_k26,False,False,50d0a62e8cc6e9d1c9552efabe62ae3b72b7d82879e7623530cab22408421f33,True,[],False,moonshot,4,33daa4e9779e8ce9cdcac448d8834707c54b6dc450aed74f8fcb6b5c208a57f0,False,,2026-06-29T01:31:26Z,confirmatory,False,False,kimi-k2.6,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget1200::run3,200,False,6eedc5864df64ce5153f7da84e62fe47e403ea51bb0746da0a4f56052ff91199,confirmatory_primary,True,loop_only,e9c14d6104990d41d1d333b834beee41052953a1b4c6d55f4f234bb9918d240a,"['API_01_10BBFA', 'API_01_C1FFF0']",kimi-k2.6,kimi_k26,False,False,26ef38b2061510338f08a2de92a94f44afe556d440418d3ce90eee85cf1297b7,True,[],False,moonshot,4,6d0ea24ebfb2586c180f40fb931e01bcfef052781cb0d5a02692117a9d97034d,False,,2026-06-29T01:31:26Z,confirmatory,False,False,kimi-k2.6,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget600::run1,200,False,fc9d1e3bd2a534eeadb8b6c0a96a6ed865a948576b25da7888a1aa2c79bdffac,confirmatory_primary,True,loop_only,ebc8280a5a37d8c12310fbc90edb2ef7fdf026447ac61a93e2c3da2261683d64,"['API_01_10BBFA', 'API_01_C1FFF0']",kimi-k2.6,kimi_k26,False,False,e079f8d8de700c332fa15a66d6bc6a45f0bc0783910c623a98a79e0e720f816d,True,[],False,moonshot,4,ec930836d5b439d1bf4e9f1b1c9f06d3f454fb31438c796b1e9f1a8275bfcf5e,False,,2026-06-29T01:31:27Z,confirmatory,False,False,kimi-k2.6,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget600::run2,200,False,2364b37591f77e506efc98a01ad643e2636cf2219680d18c1870240c556b16a6,confirmatory_primary,False,loop_only,5353126c9ae3b88cfbdc4733cfcedd6f002192055bcd036b211f26c2a3eb7b9c,"['API_01_10BBFA', 'API_01_C1FFF0']",kimi-k2.6,kimi_k26,False,False,d1210a59f0e5c6defd8629434ae8563c2c14341cb9763cdd415fec1ee8a13efb,True,[],False,moonshot,4,d7f5a5e1d39c60b13d0d9c83eaf5a3aed043aa3d522d31d19c983bfe3ab5a9da,False,,2026-06-29T01:31:28Z,confirmatory,False,False,kimi-k2.6,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget600::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,True,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget600::run3,200,False,fd4bb16a6c7d0ddfcc24bef64ac46fd62ff86af0836bec030fce0dddd0ef2cbe,confirmatory_primary,False,loop_only,69f4cac1102676b6e6b3cf475d3487b4bbcc41f80cc12e90bf9c8fa4bd3ae537,"['API_01_10BBFA', 'API_01_C1FFF0']",kimi-k2.6,kimi_k26,False,False,579f465b8a4e020044e1b53a800b98783a754f20835426aa92b39b566265e4f7,True,[],False,moonshot,4,b3d58d69a150cd84931c08ed8c07f77570ee2b459f9a22a5fba7eecaba9cf13e,False,,2026-06-29T01:31:25Z,confirmatory,False,False,kimi-k2.6,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::loop_only::budget600::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::mature_ssr_loop::budget1200::run1,200,False,fa251c060c8b70a7c9184c6c872850f9e943bfaa3504af78086ffcd7ef3629de,confirmatory_primary,True,mature_ssr_loop,2a7be86b2bae0449dbf9511da371439de2b1027092d456f8750d73763378cbcf,[],kimi-k2.6,kimi_k26,False,True,f8667d2b62bb014bf0486e5c68493517e6531ca5af4fe8fbdce2618ebd10214f,True,['API_01_C3B486'],True,moonshot,3,f41c8a5facd09b4b6b4f23bd4d700d9a8d4483a9e2d6243b453b8251b6e06309,False,,2026-06-29T01:32:38Z,confirmatory,False,False,kimi-k2.6,0,1.0,,,True,['API_01_D3A169'],True,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::mature_ssr_loop::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::mature_ssr_loop::budget1200::run2,200,False,f6f48c27cc569708b7dddfd62ec151da71f104c6ffed109e375135ed18feccd8,confirmatory_primary,True,mature_ssr_loop,6d0d7a718b1ebe6782fa3a0ac05c216cbc930ef7120540f668c256d92bcb0bd4,[],kimi-k2.6,kimi_k26,False,True,05288c67dd3926d1f674cf47ea2dd8a373808ec9cf585bdf954dcf4a9046ee8f,True,['API_01_C3B486'],True,moonshot,3,f4567e075a4adbb8623d371193eed05e87575136c8a3ecf3cc98a93fa84a0a50,False,,2026-06-29T01:32:34Z,confirmatory,False,False,kimi-k2.6,0,1.0,,,True,['API_01_D3A169'],True,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::mature_ssr_loop::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::mature_ssr_loop::budget1200::run3,200,False,1861c2e5a0e22acbc09f00dc5b384b2b2f70dadb62da187bb197819a6644f779,confirmatory_primary,True,mature_ssr_loop,29e9cc14369d58dc80289e0f94123254a29df23cbcf9ad0570858dde00820e77,[],kimi-k2.6,kimi_k26,False,True,f234a8afe57a02a77334078c04a37880818d2327978841b486332536aa9718a1,True,['API_01_C3B486'],True,moonshot,3,602b9b2c7e857315f52f3c1b7da69a28bf7e63830882f25b79aade2df1f3af68,False,,2026-06-29T01:32:37Z,confirmatory,False,False,kimi-k2.6,0,1.0,,,True,['API_01_D3A169'],True,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::mature_ssr_loop::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,kimi-k2.6,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::mature_ssr_loop::budget600::run1,200,False,07fa482bbdde30cca11e76e7c5967f3f5eb9f19e99c7d6bc197bfc2494a2f8b4,confirmatory_primary,True,mature_ssr_loop,8bebe6b1bf9e7b8cdf1e20a7452d63cc82183bf687dfe1b573cd5541cda3d511,[],kimi-k2.6,kimi_k26,False,False,205e2784a6252db81234d156c850271b3aaaece23fe8ff65023bc584755ba736,True,['API_01_C3B486'],True,moonshot,3,15834374f63a425b04d3875e2185425ddf873bd0f6cc40ca91f52542e1426708,False,,2026-06-29T01:32:28Z,confirmatory,False,False,kimi-k2.6,0,1.0,,,True,['API_01_D3A169'],True,pcgds_v2_00001_api_migration_state_transition_easy::kimi_k26::mature_ssr_loop::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,kimi-k2.6,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,True,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
