baseline_policy_id,task_family,task_difficulty,n,answer_success_count,answer_success_rate,state_governance_success_count,state_governance_success_rate,co_success_count,co_success_rate
carry_all_visible_v1,api_migration_state_transition,easy,360,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,api_migration_state_transition,hard,540,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,api_migration_state_transition,medium,540,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,decoy_heavy_same_prefix_config,easy,360,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,decoy_heavy_same_prefix_config,hard,540,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,decoy_heavy_same_prefix_config,medium,540,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,permission_boundary_with_attractive_blocked_path,easy,360,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,permission_boundary_with_attractive_blocked_path,hard,540,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,permission_boundary_with_attractive_blocked_path,medium,540,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,protected_information_redaction_under_task_pressure,easy,360,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,protected_information_redaction_under_task_pressure,hard,540,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,protected_information_redaction_under_task_pressure,medium,540,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,requirement_overwrite_cumulative_active,easy,360,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,requirement_overwrite_cumulative_active,hard,540,0,0.0,0,0.0,0,0.0
carry_all_visible_v1,requirement_overwrite_cumulative_active,medium,540,0,0.0,0,0.0,0,0.0
copy_initial_visible_v1,api_migration_state_transition,easy,360,180,0.5,360,1.0,180,0.5
copy_initial_visible_v1,api_migration_state_transition,hard,540,0,0.0,540,1.0,0,0.0
copy_initial_visible_v1,api_migration_state_transition,medium,540,0,0.0,540,1.0,0,0.0
copy_initial_visible_v1,decoy_heavy_same_prefix_config,easy,360,180,0.5,360,1.0,180,0.5
copy_initial_visible_v1,decoy_heavy_same_prefix_config,hard,540,0,0.0,540,1.0,0,0.0
copy_initial_visible_v1,decoy_heavy_same_prefix_config,medium,540,0,0.0,540,1.0,0,0.0
