answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,expected_returned_model,experiment_id,fallback_enabled,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,max_tokens,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,open_weight_supplement,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,provider_name,provider_order,provider_tag,quantization,raw_response_sha256,reasoning_content_present,reasoning_control_policy,reasoning_tokens_observed,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,structured_output_forcing,supplement_id,supplement_phase,supplement_protocol,task_id,temperature,tools_function_web_retrieval_agent,top_k,top_p
True,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget300::run1,200,False,cbab90ac2ff1540fde4cf1bf634256260f0742ad13d11796d145895f962fa477,open_weight_supplement_budget300_diagnostic_not_primary,4096,False,mature_ssr_loop,737486f27b91f640d1504a0ff044fd15cb1717bda50f72385723fa3470a6972b,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,ce3bde7b423ffef8841c59a7d081309df92843eaf068d6d36bd2cc6efef42bf3,False,[],False,openrouter,3,Alibaba,['alibaba'],alibaba/opensource,unknown,f597fb11a916e946fa5556d562774339792f71357acf86d5af809ce44b0aa1d3,False,not_exposed_not_requested,0,True,True,qwen/qwen3-coder,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
True,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget300::run1,200,False,657170d9692fdc090fe8ab4424f2c0a92e539ed571bc94e9bd2c9c326f86ca44,open_weight_supplement_budget300_diagnostic_not_primary,4096,False,rolling_summary,65561985fd407579ccbd748c361871ff3ac804e36c3f7931b3f4550e977bb08c,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,a3a30bcb9e000e1977bc8139113e6e0319c62a2d208fc4f3d8a38abec64778a3,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,052dfa08161f982061322e3f29e006a792ab934041dd827e67d30a3805773686,False,not_exposed_not_requested,0,True,True,qwen/qwen3-coder,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': True}",True,True,True,False,0.5,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,['src/api/unit_01_e43288.py'],True,True,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget300::run1,200,False,e04470f562b21983ffb812c4622c45d31cf066a11b5b67510686aa86cbc4393a,open_weight_supplement_budget300_diagnostic_not_primary,4096,True,rolling_visible_carry_forward,e71917182c6a8a70bd21ec9153379dccbeb86407ac252e7bc68b736f97bb476a,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,True,7f6996cb3c06ea1ea9dd7bb1651776aa470e4b6216da697ca259482a1435f012,False,['API_01_C3B486'],True,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,e7846d8f52c4099648ab17268b8ba293b1f1325ae7b9e2ab6963583f49506274,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['NOTE', 'VISIBLE_KEEP'], 'required_token_present_in_state': True}",False,False,True,True,0.5,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::ssr_no_visible_carry::budget300::run1,200,False,71cde1aa3bd2ae802cfd901c7c91f0e66c38bc1ed8756377d7fb1c785d788e34,open_weight_supplement_budget300_diagnostic_not_primary,4096,True,ssr_no_visible_carry,1adb3440a8b89fd529a5794c309c05b0950541f00add4dcbf60478e3d7507093,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,dc4c31c50605f8dfad84296ee7696085d84ad13c96db80d35c9aeca633da77f7,False,['API_01_C3B486'],True,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,a968a2568bd0d1aca1b19376fa7e58f6d2151a6103d56f0a60d70cae434262f0,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,['API_01_D3A169'],True,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::ssr_no_visible_carry::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.5,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00002_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget300::run1,200,False,ee99da0f6966a0c8c71a662874b17332820a9a5000218f83cebabfa0c17543a4,open_weight_supplement_budget300_diagnostic_not_primary,4096,True,mature_ssr_loop,80d68fd58d138a53e246de12c89bc8711415b8be8753d5aea1ae80b78cb4893d,['API_02_E90D41'],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,True,cb5ec893d032f1b6dd07ce99911c86ca42a2fff119ee743fa19753938170e3f5,False,[],False,openrouter,3,Alibaba,['alibaba'],alibaba/opensource,unknown,23095a13eb9a9abe87ac7a29000239b3dde01730456164322a0afb9a91001e23,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,1,0.666667,,,True,['API_02_9926B2'],True,pcgds_v2_00002_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00002_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00002_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget300::run1,200,False,f4f6e605b4144cc678e12872be9a58a296344a3123caa737b16a8be1ac84c548,open_weight_supplement_budget300_diagnostic_not_primary,4096,True,rolling_summary,6d2ba1858b3b2879434af3aef6226a2ca17016b72e59250193dc04689cfedb9c,['API_02_E90D41'],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,bfeb36584b276eb7d57786acc75edbc19e332148fcd0a98363f4f9c5a7063d99,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,10359726e5173b0d45818dac3a69898fda557ebceeb05140a7c4c7c5b0554938,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,1,0.666667,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': True}",False,False,True,True,0.428571,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00002_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,False,True,provider_final_call,stop,['API_02_314918'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00002_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget300::run1,200,False,e6a007d4b70036fe2b40df0bbab6c101e5d0a89e3d1d9cebddc9de1ed52ecd2d,open_weight_supplement_budget300_diagnostic_not_primary,4096,True,rolling_visible_carry_forward,7d7c09bd470507ffa2fd09a3bd8cfdbb60333614fe8a54e89b5503ffe9b1ddc6,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,True,a0d67b1b74a5d7ae8fdd68b7d2a8f8a5fd668b58b08075c4ae2de5ed0be3f848,False,['API_02_76155B'],True,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,392d313f938ab920c55633dec9bfa03081b3ca8dbc6e7506a0e4ac1ffecc320a,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,['API_02_C8575F'],True,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['NOTE', 'VISIBLE_KEEP'], 'required_token_present_in_state': True}",False,False,True,True,0.571429,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00002_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,300,True,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00002_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::ssr_no_visible_carry::budget300::run1,200,False,d538207f4e78e49fc6be69fc10005b8380271a7ed22dfeea03e3b99eb2521196,open_weight_supplement_budget300_diagnostic_not_primary,4096,True,ssr_no_visible_carry,6aabf8d5e606ae267113e6e5638e19e711ede39684b967f7da9da449cf0f612b,['API_02_E90D41'],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,c5b73718bb7792345a39e0c4b6ee58baa3d2a5f9570f5e533e03fedd7139019a,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,a283bd5ea0bce1ac5c7ca64179cc8fc56298551edc8ac83ed2798731f9d0813e,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,1,0.666667,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::ssr_no_visible_carry::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.285714,True,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00002_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,300,True,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00003_api_migration_state_transition_medium::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget300::run1,200,False,3eac096e5309d24b073dee6d66035c5905fa9290ff2f8aaea17730c6fe594f6d,open_weight_supplement_budget300_diagnostic_not_primary,4096,True,mature_ssr_loop,a9e7af2c65190df798cc20d50e5d4b09b0eeae9b4d8269e0e74d47b8a1af3b71,"['API_03_D048D7', 'API_03_DE2EBD']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,6c72d6a625bb8f06852ad9bbc9cf46455adfe2a6fe4487c1c24a8841235340ce,False,[],False,openrouter,5,Alibaba,['alibaba'],alibaba/opensource,unknown,a5605b417945761c44340b8585858ffb97b4cbfb68d6fa8d4a3381639be492ee,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.5,,,True,[],False,pcgds_v2_00003_api_migration_state_transition_medium::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,True,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00003_api_migration_state_transition_medium,0,not_requested,not_sent,1
False,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic,False,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_budget300_diagnostic::pcgds_v2_00003_api_migration_state_transition_medium::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget300::run1,200,False,ee1cd0d420d3fd76351f15f2f090bb17ac1e75f1f40064ebf6db12ce9da476ba,open_weight_supplement_budget300_diagnostic_not_primary,4096,True,rolling_summary,4eeddd116e3f0ec22d40d79f92710ccfab22f7ec8c936694e61195fe8547a1ae,"['API_03_D048D7', 'API_03_DE2EBD']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,eb28bd1d8c082dfb811eb3a2df8c42da1856c23bc792391aefb5968065fd5dd3,False,[],False,openrouter,6,Alibaba,['alibaba'],alibaba/opensource,unknown,05e0f8062ad61455cdf8da8c3a60bed0c7eafd4d247f58b2fda2c815816c96f2,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.5,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00003_api_migration_state_transition_medium::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': True}",False,False,True,True,0.3,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,budget300_diagnostic,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00003_api_migration_state_transition_medium,0,not_requested,not_sent,1
