answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,experiment_id,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,raw_response_sha256,reasoning_content_present,reasoning_tokens_observed,record_mode_created_at_utc,record_mode_role,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,task_id
True,False,[],False,False,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget300::run1,200,False,f30fe099268526c1dd92826f9e71337db4e4ad3c365699e4c8dc93deea4bb102,budget300_diagnostic,False,mature_ssr_loop,90cca36082fa1ace8ecb21cd5b6eb09e5ca9d25cdc70656e6aeb30f6e078ed20,[],qwen3.7-max,qwen37max,False,False,a3767771de9c22810a2b84be7e0e947434b5a2939d5390df5503fb7a0e69efe2,False,[],False,dashscope,3,1b45fbf7239b062c31b53864662260e901fc10fe4ce5d629ee057cd57959ad2b,False,,2026-06-29T04:54:07Z,budget300_diagnostic,True,True,qwen3.7-max,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,True,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::rolling_summary::budget300::run1,200,False,be7df03f30d51461d23f05c21061efcd76ad162057482063b208c51b35c06371,budget300_diagnostic,True,rolling_summary,7518bb4b7d403076291d49e0490fc3ed57e8abb2e7d47d065bf902e06e34f03e,[],qwen3.7-max,qwen37max,False,False,64d409ca81f42f8d3e08de60f0ae69720e418f9bb8f86e81714408ea54a48d8f,False,[],False,dashscope,4,bb03fe7a5bf85a00c64c1f04158e15bf052f6394fa7bd089d62ecd8783cce366,False,,2026-06-29T04:54:08Z,budget300_diagnostic,False,False,qwen3.7-max,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['SUMMARY'], 'required_token_present_in_state': True}",False,False,False,True,0.666667,True,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::rolling_visible_carry_forward::budget300::run1,200,False,6d41484da65bd86ad2ebff06d155dfb4d97c03c99596699478d979cc42e1a564,budget300_diagnostic,True,rolling_visible_carry_forward,135a703e3cb1ed757668d247f1c8609f91aedd73581900d1846e2ee98b409e79,[],qwen3.7-max,qwen37max,False,True,baebe4692367825a45810083911e81e48dbc35973cb45aa1dca013da7f69919f,False,[],False,dashscope,4,70b75d80f31e29346ec104994cade552239719d308f01cc1645e69eeed240029,False,,2026-06-29T04:54:11Z,budget300_diagnostic,False,False,qwen3.7-max,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::rolling_visible_carry_forward::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['NOTE', 'VISIBLE_KEEP'], 'required_token_present_in_state': True}",False,False,True,True,0.666667,True,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,['src/api/unit_01_e43288.py'],True,True,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::ssr_no_visible_carry::budget300::run1,200,False,85d95dcfae14964df358523cda97d16d401aac0e546c443e4e683ecbc5254f56,budget300_diagnostic,True,ssr_no_visible_carry,92eecbab967f0ae513d3a044759646e525d074afc2ed3cbd42b219256c896d3e,[],qwen3.7-max,qwen37max,False,False,2865d0298c3376982f6a4fbac5b2ea7e8e0ef8c67ebe0bae2841c1f3908376b8,False,[],False,dashscope,4,28069a3b849c81460c10ef49f015bbda5efdb454a3f5982fe4f8b3e7353d91b5,False,,2026-06-29T04:54:10Z,budget300_diagnostic,False,False,qwen3.7-max,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::ssr_no_visible_carry::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.666667,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget300::run1,200,False,6050d1d773f53b29483dec65b124f5bfc880796846f5105e23df6095b318d8c3,budget300_diagnostic,True,mature_ssr_loop,b32c642aef0e7abd1f0f353938558a9d3d8a7e5b7b76eab54197267bdade38f4,[],qwen3.7-max,qwen37max,False,True,f7c0052755895aba2bce7ea4b813a6c820c8cc65f4cf0ab2bf8ef678be389e0e,False,['API_02_76155B'],True,dashscope,3,089b7e82179736676b36c45dcfde5b5048069a57f64338bd59a8c36e4cfb409d,False,,2026-06-29T04:54:09Z,budget300_diagnostic,False,False,qwen3.7-max,0,1.0,,,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,True,True,0.0,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
False,False,[],False,False,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::qwen37max::rolling_summary::budget300::run1,200,False,7c2ed8b5f0f1ee120432a8ca631a00e12f63d8f3c20c06d3515ed39cb3b0eb2a,budget300_diagnostic,True,rolling_summary,2674151ef296a61a90b36b78c012a4356b18b2e7a7416ff0ff7c0b96fb86dcac,['API_02_E90D41'],qwen3.7-max,qwen37max,False,False,70e0da168d56243353f86282b26e63a78127bc298a15cc6c3f7e0efd0d7c9ffb,False,[],False,dashscope,4,5b8cfe4b3d8c4ab877f96138492952a0821785fb375e1ed9d58fcbae6f768a02,False,,2026-06-29T04:54:12Z,budget300_diagnostic,False,False,qwen3.7-max,1,0.666667,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::qwen37max::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['SUMMARY'], 'required_token_present_in_state': True}",False,False,False,True,0.571429,True,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
True,False,[],False,False,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::qwen37max::rolling_visible_carry_forward::budget300::run1,200,False,ec2ac7a33d515107e25220498ffc600bc2721631ea2a897bfa54793371637cb8,budget300_diagnostic,True,rolling_visible_carry_forward,ebaf1a8943598ab023e1a7ad86b788920177d9d465d6501c768850d64d6c8df2,[],qwen3.7-max,qwen37max,False,True,3e478842a6bee1302b658eb461d85155672473e2fb451976036568fd64c6d3c6,False,[],False,dashscope,4,3075578f5c0b349a865d375633af97b8d740572712066b0d5ccb798c7eb4ab6c,False,,2026-06-29T04:54:14Z,budget300_diagnostic,False,False,qwen3.7-max,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::qwen37max::rolling_visible_carry_forward::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['NOTE', 'VISIBLE_KEEP'], 'required_token_present_in_state': True}",False,False,True,True,0.714286,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
False,False,['src/api/unit_02_d73504.py'],True,True,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00002_api_migration_state_transition_easy::qwen37max::ssr_no_visible_carry::budget300::run1,200,False,634ef9f77bbcc8bf42e44c3f0fbdc5f8ca8f63e254f169bcadd0287c68af6041,budget300_diagnostic,True,ssr_no_visible_carry,8c46e514b9cafcf01cc0490a019c13856a4518367ce8779120056c7bbce3f3f6,[],qwen3.7-max,qwen37max,False,False,298e86058f1c007a6048edda5adb47b584197485582b44cda2069ae77f57919f,False,[],False,dashscope,4,5bb0b410e8d426fb009b44f57384c2fed96a30d29aa74e2bdac75c1b9d41fa87,False,,2026-06-29T04:54:17Z,budget300_diagnostic,False,False,qwen3.7-max,0,1.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00002_api_migration_state_transition_easy::qwen37max::ssr_no_visible_carry::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.142857,False,True,0.0,pcgds_v2_00002_api_migration_state_transition_easy
False,False,[],False,False,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00003_api_migration_state_transition_medium::qwen37max::mature_ssr_loop::budget300::run1,200,False,8c0cb576341b1347931757fddd22be93ece9afcc4adb738c824952231d03ca88,budget300_diagnostic,True,mature_ssr_loop,acacab2683b38c9b3c8534178c9d127b75760ef168564fd2ff1b5530934d296d,[],qwen3.7-max,qwen37max,False,True,1ae7f3c2db6759b7bb7623bf9d8569a12d29313044ea20985f888e08aaf129be,False,['API_03_A0307E'],True,dashscope,5,b5dbd601a6e0ff02d219d49dbfabdc997c9d516bba6416e96b50ace96941b531,False,,2026-06-29T04:54:29Z,budget300_diagnostic,False,False,qwen3.7-max,0,1.0,,,True,[],False,pcgds_v2_00003_api_migration_state_transition_medium::qwen37max::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,True,True,0.0,False,True,0.0,pcgds_v2_00003_api_migration_state_transition_medium
False,False,[],False,False,300,False,qwen3.7-max,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_budget300_diagnostic_40task_5model_4method_1budget_1run_20260625::pcgds_v2_00003_api_migration_state_transition_medium::qwen37max::rolling_summary::budget300::run1,200,False,30f3110ae71a067fab81aa3ac8212a09ed3c9bf4016343ee968b890757832b15,budget300_diagnostic,False,rolling_summary,f1dfcfee7c23e2e7e9dbebf81fa8c7011552f2c79a336fbb108daf364ab28fad,"['API_03_D048D7', 'API_03_DE2EBD']",qwen3.7-max,qwen37max,False,False,5093c691f6e26bc0ad37ff6e191e5f00d45216d08e482516e17375ab17abc4de,False,[],False,dashscope,6,bbfef8cebfa8d4664f41826e71a6194849ef29a077f9856e1abea7b3b0ca46cb,False,,2026-06-29T04:54:16Z,budget300_diagnostic,False,False,qwen3.7-max,2,0.5,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00003_api_migration_state_transition_medium::qwen37max::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['SUMMARY'], 'required_token_present_in_state': True}",True,True,False,False,0.5,False,True,0.0,pcgds_v2_00003_api_migration_state_transition_medium
