answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,experiment_id,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,raw_response_sha256,reasoning_content_present,reasoning_tokens_observed,record_mode_created_at_utc,record_mode_role,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,task_id
False,False,[],False,False,1200,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,False,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget1200::run1,200,False,3924aa4be893067d93037f8fe6b4028a99f8ca89582ece6f11444d06bd76c21d,confirmatory_primary,False,loop_only,f2e0721002279a733e460adbb73c800c1eabfc6598b03ef0f163342f8c5931ee,"['API_01_10BBFA', 'API_01_C1FFF0']",deepseek-v4-pro,deepseek_v4pro,False,False,fd58c23fa4c093d31143b79dadbcb6a6dbf247f4dd46f14d0f6deefc01ea4aae,True,[],False,deepseek,4,93d13f4790c148f0618ad2e54af8546fa764ee2a2f0eec6afe8d455b6bc2ef68,False,,2026-06-28T15:56:51Z,confirmatory,False,False,deepseek-v4-pro,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget1200::run2,200,False,9f42ea702d75a5a109acb7f9859b1db904682fb88a58672621b83a73915e19f0,confirmatory_primary,False,loop_only,b7dba08d305c814af46ddf763e365a4dd61dc01bb8f4ba0c104d2f4b66cfb4b6,"['API_01_10BBFA', 'API_01_C1FFF0']",deepseek-v4-pro,deepseek_v4pro,False,False,03413ea6d8a90d9cd112a122415ab8dd7285d987295b818e6b351be654640f99,True,[],False,deepseek,4,177e097be19e68aa2f36da4ffa7f772eb3ed9c023b0c1e8f3ba9af2df4e8280f,False,,2026-06-28T15:46:47Z,confirmatory,False,False,deepseek-v4-pro,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget1200::run3,200,False,0cec5004f13c6edd7204e02dbebb7f427e7727eaef2bfce4fb5e35004fa5f22c,confirmatory_primary,False,loop_only,00b68aaa392e380705bf37cee66dfee419684fb187e50e8724263387ac3105bb,"['API_01_10BBFA', 'API_01_C1FFF0']",deepseek-v4-pro,deepseek_v4pro,False,False,73109a222c510fd84a3ad46286aae84db24156fddba69d3bad3470ee97217094,True,[],False,deepseek,4,3cda092227a6fbd5e9baabc502fa95f519d2af08261fad367a73abd240bd61ca,False,,2026-06-28T15:46:46Z,confirmatory,False,False,deepseek-v4-pro,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget600::run1,200,False,ffb2bde285ab2cdc4de06f0123965282ea09cda97c4fec53c9443879871c584a,confirmatory_primary,False,loop_only,9c34e2a0eb35df3c9f7fff9283d46db553038c5e41bc647bcc60bd116b2f5dec,"['API_01_10BBFA', 'API_01_C1FFF0']",deepseek-v4-pro,deepseek_v4pro,False,False,0c45680a87cf84af0abafe407212daa4afd562bae4aef6a2d8388b04c091eacf,True,[],False,deepseek,4,fcda9d085f44179b631cba7a0957193bc07e81ef458af1717873ba84a8723f93,False,,2026-06-28T15:46:47Z,confirmatory,False,False,deepseek-v4-pro,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget600::run2,200,False,9a54228051aee0ca8348cfa8f5adaf705c1d7c83d6c89a5f6de8cd02c570e122,confirmatory_primary,True,loop_only,c72027db8bf8d984d5e94e0aede025793c3177f51b64ac0f42ecfc88e1df1350,"['API_01_10BBFA', 'API_01_C1FFF0']",deepseek-v4-pro,deepseek_v4pro,False,False,9a75fb11bd39b5e13a4a8d3eef01875b1f79c0938f531882a281c8efa0de008d,True,[],False,deepseek,4,c9ef831a1a9163823c7e0ed10d5426206a08c12c593a2bde1489f4e4584c238f,False,,2026-06-28T15:46:47Z,confirmatory,False,False,deepseek-v4-pro,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget600::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': False}",False,False,True,True,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget600::run3,200,False,e92e09b252bf39ab40a3d2e441625f1de09b4f7c04c43abce876b5a85a948cb1,confirmatory_primary,False,loop_only,cb5612b58b8d91fb418c3da8949ff4114f0a4ac680ebd5b34c745ef6e248a6f6,"['API_01_10BBFA', 'API_01_C1FFF0']",deepseek-v4-pro,deepseek_v4pro,False,False,236ca2996f1d627f4aae9f4f2c07aa234ac952824583bdfbd39b0f5e3ecbd4af,True,[],False,deepseek,4,ec5f17f40f74a7a682107115f6dbb03e13163cfcd583ab7590cb0d7ec6caa4b6,False,,2026-06-28T15:46:47Z,confirmatory,False,False,deepseek-v4-pro,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::loop_only::budget600::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,1200,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget1200::run1,200,False,58283ccf6d0eaca4b71a826a6c94ea3b8a578fff7b75d8d82f2f293cf4d01db0,confirmatory_primary,False,mature_ssr_loop,3df1e81698480a76d8016f4b672a6796e00e842639e46ef8b18496699f587b09,[],deepseek-v4-pro,deepseek_v4pro,False,False,c24fea57b431c52c2930c1ff96dbb0c1a9ddbc2b88e3bbe9ffbc07cf30b24199,True,[],False,deepseek,3,1bac26d71af746069e85f55b36fb398cb7d66de0d0afa3d66a29e4136cffcc02,False,,2026-06-28T15:47:17Z,confirmatory,True,True,deepseek-v4-pro,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,False,False,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,1200,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget1200::run2,200,False,ca0b25ea9066dd25d00c7836f6a425bc94bd6e5a836252eefb268e811cb21e12,confirmatory_primary,False,mature_ssr_loop,2c0301e225d9b93215667a2e1e791939bdf1eb7a2598e8342c055bb53438784e,[],deepseek-v4-pro,deepseek_v4pro,False,False,c24fea57b431c52c2930c1ff96dbb0c1a9ddbc2b88e3bbe9ffbc07cf30b24199,True,[],False,deepseek,3,b14f9b646c1790d977b47b492c0233ac85a45f73c72d69adbe51e765ebd88ed0,False,,2026-06-28T15:47:17Z,confirmatory,True,True,deepseek-v4-pro,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,False,False,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,1200,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget1200::run3,200,False,5ff2047a90778fc85a4b4577c6d7daaf6b2206f7666260d38b1bf01f6b2b55e1,confirmatory_primary,False,mature_ssr_loop,26d0c7a5782bea515e02086859bc7835704027c558caff3662f96892585babca,[],deepseek-v4-pro,deepseek_v4pro,False,False,b7bcd436c103694b72d6f91a3217084184e030b9eba61ecc0726d9d7c9828290,True,[],False,deepseek,3,6439ad0ed085740b6472c9cf73169c7f68c8c8da129e573ee0baad48e00d78fe,False,,2026-06-28T15:47:21Z,confirmatory,True,True,deepseek-v4-pro,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,600,False,deepseek-v4-pro,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget600::run1,200,False,237f7279a57c418519890b9ee568d8e8b6c993b18bb5c25cf822f7751967beff,confirmatory_primary,False,mature_ssr_loop,a1c25a9c6432843eeaafd18209707dfa5176344a102155a46e28558a464b5cd0,[],deepseek-v4-pro,deepseek_v4pro,False,False,1642993467dc909c2f2e22ddee3c8af7edd699b957dc9d2d786f0a51a0a75d99,True,[],False,deepseek,3,fecc194285f5b78bb407280c1011b34a8e51637bf346fb0c8298e6c5fe8cd71e,False,,2026-06-28T15:47:15Z,confirmatory,True,True,deepseek-v4-pro,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::deepseek_v4pro::mature_ssr_loop::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,deepseek-v4-pro,[],False,True,False,False,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
