answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,expected_returned_model,experiment_id,fallback_enabled,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,max_tokens,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,open_weight_supplement,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,provider_name,provider_order,provider_tag,quantization,raw_response_sha256,reasoning_content_present,reasoning_control_policy,reasoning_tokens_observed,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,structured_output_forcing,supplement_id,supplement_phase,supplement_protocol,task_id,temperature,tools_function_web_retrieval_agent,top_k,top_p
False,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget1200::run1,200,False,2ee78da7b2e21f039201b910b962a44f54f80722e7da81035e2ee99ac5660bca,open_weight_supplement_confirmatory_not_primary,4096,True,loop_only,dff9d8a395603cfbfc3fccf2a4913e76e5ea4c4a3770f6ef951531a84f34e497,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,d5099531f4c99c2361bdc972b1ce0e72e77b1ad10faa9571d88678170336bca2,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,a019785c45060ab20bec4ae242dbc20d70212722e7aa29bfabc4d4e5e2d0e561,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget1200::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget1200::run2,200,False,8aa1b5378bb8b496068a64dfd59b93143db77208454f8c77398c21468deda7cf,open_weight_supplement_confirmatory_not_primary,4096,True,loop_only,d68622220a7968471e9cdfe09400ae8b0f92beeafba6cfa74f67750d54149475,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,4eaa768aae010780165a28ddf16c5aac7ba1c56e8a0a3a376a89b5bdfb7715cb,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,23a2d73cccdb017c6981e8570e4c16e734b2f2387773704869e8c0c48321366b,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget1200::run2,2,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget1200::run3,200,False,bd15234a84aca8650b563c98c711c0a8583de7c50714e85290506f221bdf618a,open_weight_supplement_confirmatory_not_primary,4096,True,loop_only,3bf391cb56b9802b9cad25acc4e499900d9c5b41c07475dbc122cdbc7ef95b82,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,904ab94c93efa3c44a8074c0ea956308558c169985b826630a5a6327ceba7767,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,34e9c132f181b02523fe906085dcf1985ee7a0d57fa78083d63a08ba5c37c393,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget1200::run3,3,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,600,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget600::run1,200,False,b8798647371fc917af21ade96bf75ff3d44c214e9292ea525d9349f2a4ae1142,open_weight_supplement_confirmatory_not_primary,4096,False,loop_only,a95540121be1b21764f26e47e5fd1361d2b7df082a2cad3bc210e52e3945bf3a,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,f291c0a05dca5d66d3621992d2660812cd1fac7047c364f70f92e46ef76c9181,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,947912d45118388f68f6321875f0d20ace282626424822de7067825d1e8c17a5,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget600::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,600,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget600::run2,200,False,62b5367e5b92a1437ed326d6cf587552c1bb600f1b8460ebd664bdbf3db419a1,open_weight_supplement_confirmatory_not_primary,4096,False,loop_only,9241b92c09154615a166fda0fbe514c32bc7fea4b6a7b82fb569ebf36349eaf1,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,1a6b82d95d6e835abfe3a68f258b70418bfaea7f7ff3fc35c92ca0661c88e94b,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,12986a098a4235229ce9d120a9744e8d83716b62c5410593ce7b3a3c60e89b24,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget600::run2,2,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
False,False,[],False,False,600,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget600::run3,200,False,c863f7385dbb5ad50a90fabc637837093c7001ed17a84f9a707b696592795d09,open_weight_supplement_confirmatory_not_primary,4096,True,loop_only,adcb84f5ce14ed892399545917145f577d2297881c80a9cbb719f14ef19ae00a,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,dcfa428ba0b6f5a229cb9effc0e34febe53c13aa9a4f096abb8f8d54af87306f,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,b17c0e28ea960d31d63cd8292a1b34a3e6ee1b5da93e8816142a1244f1422252,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget600::run3,3,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
True,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget1200::run1,200,False,a899e97eb0cd05ed274cee67c0b6b04e9cfa96740173fb203c091fbef13db6f1,open_weight_supplement_confirmatory_not_primary,4096,False,mature_ssr_loop,7f8c2e4d93be73bfdbdd1bdf4be3029b69bc4726ed6a50c5d0362deeb880355d,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,61d2ed8bdc935ca4ad491c42f14bccda7546285005fd9810f3a26810625cf028,False,[],False,openrouter,3,Alibaba,['alibaba'],alibaba/opensource,unknown,c2d1362027ee75053ff5e0cdc2eb8293f456f2817ad05a9f5899c7b13fcc1742,False,not_exposed_not_requested,0,True,True,qwen/qwen3-coder,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget1200::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
True,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget1200::run2,200,False,c0286fb13123e8b8a69ee80ff3bddcdc909267c1308b41eb2ab3fa953aecd13c,open_weight_supplement_confirmatory_not_primary,4096,True,mature_ssr_loop,0ba26f68a576a6dcdefabf24f9b887f010d374621fce25f5fe072dc50c564ad0,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,338aab58cfe1c658dcb63c2191943a66d80f6dfe9ba45ceac8ac2f0621d73003,False,[],False,openrouter,3,Alibaba,['alibaba'],alibaba/opensource,unknown,e7fc935a69e638552166e79ad6c9d757dff223b2fa305ccdd873976dcf6d619b,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget1200::run2,2,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,True,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
True,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget1200::run3,200,False,81dbf67555d5fccc14684af93b5896a8ad4b51745d9b940892439d12e91b57fe,open_weight_supplement_confirmatory_not_primary,4096,False,mature_ssr_loop,46e7f7a771e81ea3e50043fdf4328df6762bfd33dcb073c97167f374ba38482c,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,33dfd17b0d525cef3298398ec891f254f225fd77cf5b9c84fb0ff0277b40fe68,False,[],False,openrouter,3,Alibaba,['alibaba'],alibaba/opensource,unknown,0adbeef247476ed6d4cd56ca2233ee839f5d5d86418bb73b227e112cb1e73f76,False,not_exposed_not_requested,0,True,True,qwen/qwen3-coder,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget1200::run3,3,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
True,False,[],False,False,600,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory,False,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_confirmatory::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget600::run1,200,False,9bebf3da1c005b834472572be697a0a08e47769b4d9fd323d918e56c881ffbae,open_weight_supplement_confirmatory_not_primary,4096,False,mature_ssr_loop,d7bbe6554229641376d6c6a47b97b6884587bf24e387be04635e3570ed5e5143,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,ce3bde7b423ffef8841c59a7d081309df92843eaf068d6d36bd2cc6efef42bf3,False,[],False,openrouter,3,Alibaba,['alibaba'],alibaba/opensource,unknown,fa3c42b649316fe1347c1d3d3a7f86fe96721e0333cf6e427c5fae68ecdc7f5e,False,not_exposed_not_requested,0,True,True,qwen/qwen3-coder,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget600::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,confirmatory,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
