model,budget,rows,hard_cap_rows,hard_cap_rate,answer_rows,answer_rate,answer_aligned_validity_rows,answer_aligned_validity_rate,joint_rows,joint_rate
deepseek_v4pro,budget1200,720,0,0.000000,55,0.076389,16,0.022222,16,0.022222
deepseek_v4pro,budget600,720,138,0.191667,55,0.076389,16,0.022222,16,0.022222
kimi_k26,budget1200,720,89,0.123611,66,0.091667,0,0.000000,0,0.000000
kimi_k26,budget600,720,465,0.645833,68,0.094444,1,0.001389,1,0.001389
openrouter_claude48,budget1200,720,211,0.293056,59,0.081944,14,0.019444,11,0.015278
openrouter_claude48,budget600,720,402,0.558333,60,0.083333,13,0.018056,10,0.013889
openrouter_gpt55,budget1200,720,101,0.140278,74,0.102778,27,0.037500,27,0.037500
openrouter_gpt55,budget600,720,396,0.550000,76,0.105556,22,0.030556,22,0.030556
qwen37max,budget1200,720,39,0.054167,84,0.116667,29,0.040278,28,0.038889
qwen37max,budget600,720,198,0.275000,99,0.137500,42,0.058333,42,0.058333
