answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,experiment_id,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,raw_response_sha256,reasoning_content_present,reasoning_tokens_observed,record_mode_created_at_utc,record_mode_role,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,task_id
False,False,[],False,False,1200,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget1200::run1,200,False,6e6dc0e9a3dadbad023c9c8074e7b0e5dde2ae7522829f1955626d2d1e65a865,confirmatory_primary,True,loop_only,22f90ef880554bba4599bc8a7cbfc1ee717e058c5d6b43e8569e6a12b2d667fc,"['API_01_10BBFA', 'API_01_C1FFF0']",openai/gpt-5.5,openrouter_gpt55,True,False,309e39a8d6989296686a865f452ac4568d1e44005bb08db05af38a3532d20137,True,[],False,openrouter,4,03b1d4daaa1e87b05b3794dc7b9cf60376c551f5df9006f2fc063abe24f08ef8,False,0,2026-06-28T14:00:39Z,confirmatory,False,False,openai/gpt-5.5,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget1200::run2,200,False,828c0f36d1aae30c506908ba6968e7f07dfbb62160f3508208e6c63b1e8551f3,confirmatory_primary,True,loop_only,718988cb2adb569fe72719a50758045105fbe162132168c4719e99842951c176,"['API_01_10BBFA', 'API_01_C1FFF0']",openai/gpt-5.5,openrouter_gpt55,True,False,9c88bf3888798b2f66b94ba9ee58b09497e91906260fb7f9082f37f58f081bb8,True,[],False,openrouter,4,4f9c305619ff82790e86816ad047e58f0576c523134cd30bdb033b375bfbc29e,False,0,2026-06-28T14:00:25Z,confirmatory,False,False,openai/gpt-5.5,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget1200::run3,200,False,7f1cf5fdc32d2f4ed4919e7416228fa6b5787a34bab7a5e00390fc517e372af3,confirmatory_primary,False,loop_only,4df2641da2ee46e3a946e7817fe5228955a1527d53dfe7c44c42589377ff1679,"['API_01_10BBFA', 'API_01_C1FFF0']",openai/gpt-5.5,openrouter_gpt55,True,False,472d1f40ae47f9f036f6719240f794f27a191b48d857ecdb6e85513539f0a0d1,True,[],False,openrouter,4,32927184aa8f7b37f5d552f7692a4f8533063328c917b8216d15e21923f7aca8,False,0,2026-06-28T14:00:24Z,confirmatory,False,False,openai/gpt-5.5,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget600::run1,200,False,069cd7d1c183142686cf40dbf787966145728ababc6a400781de43a934275f0a,confirmatory_primary,True,loop_only,61dda23d87a808cdf0be58ed49f3b8e3fac17e6f0636b6880543bcd95d5e1e63,"['API_01_10BBFA', 'API_01_C1FFF0']",openai/gpt-5.5,openrouter_gpt55,True,False,7bde4942786708e7443d0333d8cb7543b63d8ad034275906dea9c108e5491d2c,True,[],False,openrouter,4,e6823987960f123769577f8bdb10cd2024b0cbf5bdc7dcb56c11745da9dca99e,False,0,2026-06-28T14:00:23Z,confirmatory,False,False,openai/gpt-5.5,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget600::run2,200,False,5e045c9a003a9473bbeed7e19d49ae4271d515751264f1688e1a2c606e257f60,confirmatory_primary,True,loop_only,f149b79e8bd57e146bf6efb3dd8df9f15ae7901b6dcd34ad16ccf3fe1d22d034,"['API_01_10BBFA', 'API_01_C1FFF0']",openai/gpt-5.5,openrouter_gpt55,True,False,cf9eadc1015cf324a28af6d7fe83212e99c9c2cfce62fbc8fd20eb626f257803,True,[],False,openrouter,4,34a7b875a957b1c8d21008e979f2c5b13d85052ad7b69061cb03942d00112b5f,False,0,2026-06-28T14:00:25Z,confirmatory,False,False,openai/gpt-5.5,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget600::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget600::run3,200,False,8e38e58feff6145305ee16597c62b5a35329aa88ff62d36674191a22108652b4,confirmatory_primary,True,loop_only,8d2849ae349f02d053666e207086d5153d9d095c0d33ca3e7e9b427039f4ece2,"['API_01_10BBFA', 'API_01_C1FFF0']",openai/gpt-5.5,openrouter_gpt55,True,False,a2354b0a5494b1fdcdcd6d3fcbc9c523107bd28c6e068a4976cb57dbc0a6ad05,True,[],False,openrouter,4,b781ff441494ec992080fc6b32f9c57b0e6c89bc173b52a40a14c30603c31b37,False,0,2026-06-28T14:00:28Z,confirmatory,False,False,openai/gpt-5.5,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::loop_only::budget600::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,1200,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::mature_ssr_loop::budget1200::run1,200,False,2a52de620bc20d42a16639457057ada60696c64bec662cc1cc87f2b8bb34f21c,confirmatory_primary,False,mature_ssr_loop,1f6930c187ea1aac0dee41b300bd0e8326b164f90003553705de277dacf5a312,[],openai/gpt-5.5,openrouter_gpt55,True,False,a7453b8f412c612c5f0de9f7043e959c0ef4f0619ac43a5e489510289b5801d6,True,[],False,openrouter,3,387ec866b963e11de6ba6fe2c8ab8d24cce038c5675048ba6c03d9cd27074360,False,0,2026-06-28T14:01:08Z,confirmatory,True,True,openai/gpt-5.5,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::mature_ssr_loop::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::mature_ssr_loop::budget1200::run2,200,False,d6947aee385e6c5cda563693e6a0c9343ef87b9d2470045269a94ccdc792dc35,confirmatory_primary,True,mature_ssr_loop,61ac51bdabfacecfd934c6ed36388faa701378b2bd3b2512c49131e06922b46c,[],openai/gpt-5.5,openrouter_gpt55,True,True,6ce7da22060e2bcb9659fd43feeeac281c976a075c81ecaac383e1e5f24ac8c3,True,['API_01_C3B486'],True,openrouter,3,e691d10331da1cdd34eabc0f250f2a02ff3e9d25208db0a72bc1e535f45056ee,False,0,2026-06-28T14:01:19Z,confirmatory,False,False,openai/gpt-5.5,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::mature_ssr_loop::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,True,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,1200,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::mature_ssr_loop::budget1200::run3,200,False,a9b737e0b1260a86934fd9b4e5aa058c1a07d6111d3d969026dc2e446d24c267,confirmatory_primary,False,mature_ssr_loop,876c4e6d5024c941b5839937d81f603a2fbe08f8cfcc01ee0a00f74962c9e727,[],openai/gpt-5.5,openrouter_gpt55,True,False,d7249d45166d22c00b894fe877bef472b437158fe876ea6c2fa98ea57d1926ed,True,[],False,openrouter,3,d07e68cbe3f15f537d30f438d941d5227f06bf2c697a289401e64eb46a497119,False,0,2026-06-28T14:01:10Z,confirmatory,True,True,openai/gpt-5.5,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::mature_ssr_loop::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,600,False,openai/gpt-5.5-20260423,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::mature_ssr_loop::budget600::run1,200,False,2b92d10c2029f5262013b246971e9438dea33fc12c748e114803a6f0bb392e32,confirmatory_primary,True,mature_ssr_loop,c22d126168840da789fff9b2c0d999bcf5102f6d439e8dfe58a6a4ad341d67b5,[],openai/gpt-5.5,openrouter_gpt55,True,False,35f1c0bbe31cf7b35bf3cac0b9ba20a14b17ec2aec75933fcc297a2c29fa165c,True,[],False,openrouter,3,e1fb2667f0d15d5c6e56aaa6d45876d8bac0cdc5c3f1e144101cbf6c72e78046,False,0,2026-06-28T14:01:14Z,confirmatory,False,False,openai/gpt-5.5,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_gpt55::mature_ssr_loop::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,openai/gpt-5.5-20260423,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,True,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
