answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,experiment_id,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,raw_response_sha256,reasoning_content_present,reasoning_tokens_observed,record_mode_created_at_utc,record_mode_role,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,task_id
False,False,[],False,False,1200,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget1200::run1,200,False,3906063804ec1fed23bde4c6d9ce44d1af7a4bf4ddf11e4fd206feabf618f7c8,confirmatory_primary,True,loop_only,18964fc53d7aba227366f4b95536c4c5a645e3fd76d19b4e1efa7be374a69307,"['API_01_10BBFA', 'API_01_C1FFF0']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,7c8af6706d334f89ba86416432a6cd3c7ec38c964e728213abacd90790e43e36,True,[],False,openrouter,4,dee83c0f172b20ce4da644d2b8e655f555e498c0ae47a9927f898971a6ab8897,False,0,2026-06-27T15:41:34Z,confirmatory,False,False,anthropic/claude-opus-4.8,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget1200::run2,200,False,5a522222b83080cb87afc7d423b469ccf724f78665c591e9dd349ea7cfd01699,confirmatory_primary,True,loop_only,8f690ab50c54410a692099b7805e8c90abce87c52fd6f606013b040d9f2020a8,"['API_01_10BBFA', 'API_01_C1FFF0']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,0776342daf695a2b56d9860d2216a436f98c9982fa7e8d4b262dc062e4b1175b,True,[],False,openrouter,4,b1f748ebe4ea93e4c16b2fde3abb9e2963e1acd1924d891bf37ec509a45fbd56,False,0,2026-06-27T15:41:36Z,confirmatory,False,False,anthropic/claude-opus-4.8,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget1200::run3,200,False,97a25a003b64d92af5f23b412e42d56b2d98b5461b5b216b99eb5e605259a055,confirmatory_primary,True,loop_only,783f8272da661eed584f82f509c00d1b3d84857555c6146e0663851867433ba2,"['API_01_10BBFA', 'API_01_C1FFF0']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,2eb1c7f3ffc88167374b6f5ee105e27ecbcecb257a5aab06cd71ed168418904a,True,[],False,openrouter,4,6b9c8b18d460216658f513541b02c0ece444437448ac30f69e403e2adeebaea0,False,0,2026-06-27T15:41:35Z,confirmatory,False,False,anthropic/claude-opus-4.8,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget600::run1,200,False,1a977abe7ab60560aa8ef5f1cd3fa1536816d05aa9c21399c3ceb28f9656569a,confirmatory_primary,True,loop_only,35ae45c7e815fd0b0b4db3c55599757d698ce2e4d35558f9e646e41b5e978d99,"['API_01_10BBFA', 'API_01_C1FFF0']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,61100cace8f263fc77c50e6221361dc0fa24a15bbcb737b835c6cd7f8767ccfd,True,[],False,openrouter,4,fd2177c2190b88a075b64f2504d4df660ce343dc6682706f9fec4889573fc1b1,False,0,2026-06-27T15:41:33Z,confirmatory,False,False,anthropic/claude-opus-4.8,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget600::run2,200,False,16fc39a01ec928ed006c38a26a7dee76dd1a209dfeea8d5ce0040d4b46303f3e,confirmatory_primary,True,loop_only,a0976d024a473bfd96cf5fbbfb64828d1e6fe74eef7f36bcf1bab451622c02c0,"['API_01_10BBFA', 'API_01_C1FFF0']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,f49d8a29aaa16d41fca15374230e975bc07bba739cf52da10bb5a17dbfcfd2ea,True,[],False,openrouter,4,0901d588671417831c412f90276e0f0e4e4784a6a79a4cb0c954665285c30f32,False,0,2026-06-27T15:41:44Z,confirmatory,False,False,anthropic/claude-opus-4.8,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget600::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,True,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget600::run3,200,False,c3212a7fa470b0268a684f4e6b8a38e4805adb8ff51797c35099327907024f80,confirmatory_primary,True,loop_only,204fd53f54562665a7df5c171be66ad373c6ae2acce0c1d74e4fc9f317dd7b64,"['API_01_10BBFA', 'API_01_C1FFF0']",anthropic/claude-opus-4.8,openrouter_claude48,True,False,6679c0940ccf8d16b5f5a6b70362ad3dac2566354af14d991e6dc197ea681fd7,True,[],False,openrouter,4,809a4f85697fd2425d3f71d8546449d7343b272af935ec8323f6118699281bea,False,0,2026-06-27T15:41:36Z,confirmatory,False,False,anthropic/claude-opus-4.8,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::loop_only::budget600::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget1200::run1,200,False,dce26edd17227a24404d4af40701ca31451e96f8aeaefc3943d95df918b52d38,confirmatory_primary,True,mature_ssr_loop,e1f33b0292ecc2c0c661392d9188de61e090f1accd67e1be7f59fc7ad999d2a4,[],anthropic/claude-opus-4.8,openrouter_claude48,True,True,b1707427cae7b1019f6f82bf7c5e0440b37f9ca6751d9ddbc98ed0d7f0098b8a,True,['API_01_C3B486'],True,openrouter,3,95e770ea619f026730f2140fe380798135ec710c71ae21640c71081dd9882e64,False,0,2026-06-27T15:42:31Z,confirmatory,False,False,anthropic/claude-opus-4.8,0,1.0,,,True,['API_01_D3A169'],True,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,1200,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget1200::run2,200,False,a035334ebc1a1e62518d8654c1e5e5d95486d935192b6a12452f486a9b16e769,confirmatory_primary,False,mature_ssr_loop,bff1c06ccc27ad1cb131e8d3688838e23fb68bec5f96deae22a6398695bcb92f,[],anthropic/claude-opus-4.8,openrouter_claude48,True,False,cf4986e61a83834dfc063f116f71cd5a3f5e678ee720b1833381388c006d1852,True,[],False,openrouter,3,96535ba5bf78b2f0e2c06a980775ce15e2fe823d0365003748733afec42ff602,False,0,2026-06-27T15:42:33Z,confirmatory,True,True,anthropic/claude-opus-4.8,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,1200,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget1200::run3,200,False,aeb294fcbcb7c12a42978f5b325b94b7f64f533041c443e48eec748292b5de73,confirmatory_primary,False,mature_ssr_loop,dbdc1f8f625175e72ff4185af4da26b7e20ca41ea864980ca1fd25fa3daa7746,[],anthropic/claude-opus-4.8,openrouter_claude48,True,False,8eaa054d6800d54d7aa73e47b776e98a1e90bf6b546c7fab7371937cda0973f0,True,[],False,openrouter,3,2c59b5239a5a020309868e8355cef5817e910c67882faf10fea9ce75bf7f0cf2,False,0,2026-06-27T15:42:51Z,confirmatory,True,True,anthropic/claude-opus-4.8,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ACTIVE', 'ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,600,False,anthropic/claude-4.8-opus-20260528,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget600::run1,200,False,c532b1effed7d4ab15350ad3e662eee2ef0cc16bf0f3d6fbe086524ffa22d095,confirmatory_primary,False,mature_ssr_loop,c8719faefb0b1750838146bf0143a354dbba7f866091dd577f44be1718399f6b,[],anthropic/claude-opus-4.8,openrouter_claude48,True,False,be6407251d2f173b54bfc1a069ae38dbe4c58bd0d931897310ea29515b8161f8,True,[],False,openrouter,3,12a34045253266209bb964359cc00dad70fdadbbdd41e88d2471af100f79f1d8,False,0,2026-06-27T15:42:27Z,confirmatory,True,True,anthropic/claude-opus-4.8,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_claude48::mature_ssr_loop::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,anthropic/claude-4.8-opus-20260528,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'G', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,True,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
