admission_source_role,answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,expected_returned_model,experiment_id,fallback_enabled,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,max_tokens,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,open_weight_supplement,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,provider_name,provider_order,provider_tag,quantization,raw_response_sha256,reasoning_content_present,reasoning_control_policy,reasoning_tokens_observed,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,structured_output_forcing,supplement_id,supplement_phase,supplement_protocol,task_id,temperature,tools_function_web_retrieval_agent,top_k,top_p
admission_confirmatory,False,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget1200::run1,200,False,0e6af999751a84dc775cdca1f74c9e5eef074a4d4be8397fdc2b9ad299cad460,open_weight_supplement_admission_not_primary,4096,False,loop_only,50ebc9ddb0d025484175d2b6d55a65adaf585b9f57b6abda7632f8171710a00c,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,f2b74dee78dccde85dffe397565dd381f05e7da83d88c41c04165c931bca09f8,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,a2089c220f2fcd27a62157600ded73621a614bc61be6b3c0d6173e931d4255e5,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget1200::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.0,False,False,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
admission_confirmatory,False,False,[],False,False,600,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget600::run1,200,False,35cb2aa8b94f1317cedfa349ddf7c067193e5d49c1efec3716a1d209c33133ea,open_weight_supplement_admission_not_primary,4096,True,loop_only,fc974265b031a0a1f53e98d12f64584082abebbb7e54336750405d57d544e320,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,9a6d714b6c018ecfa1fe68f5a99e142d8cc6b40f64b2c20d546ad1d0a8109d04,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,598ceef97b06beda3be1a1e3a8d0952e7f2731206bdb858779b805b0c4edc5d8,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,2,0.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::loop_only::budget600::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
admission_confirmatory,True,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget1200::run1,200,False,66459ab4ee8014c3ec136ea7b75bb06528efdfdd28551b2f70bce39844e6a22e,open_weight_supplement_admission_not_primary,4096,False,mature_ssr_loop,7f8c2e4d93be73bfdbdd1bdf4be3029b69bc4726ed6a50c5d0362deeb880355d,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,18a4671dc81cdfd0acb8effb8012622b1f3b322be0fb31963c493c1a70d7b1d0,False,[],False,openrouter,3,Alibaba,['alibaba'],alibaba/opensource,unknown,4d87c6168d0498de7d4aa64cecfa11fae08cb0d508eef72fbb8805d6bfd3ed8a,False,not_exposed_not_requested,0,True,True,qwen/qwen3-coder,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget1200::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
admission_budget300_diagnostic,False,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget300::run1,200,False,3a6855918124997ce3d431b6e987382f8c3a441a9bbcc4342b13e6bae5551e15,open_weight_supplement_admission_not_primary,4096,True,mature_ssr_loop,7b0bd1d72a078e57bbc0235e388fd52ef906a31fc545bfe1a589cd4e4f54fe8c,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,True,3729c46c83f54c240058bb81b6ac9a0f4963eeaf331a8d26684bdcbbf6cb66d9,False,[],False,openrouter,3,Alibaba,['alibaba'],alibaba/opensource,unknown,ef7646178fc84fb64e726348a240eb46aa8f237fe502db449b0163d1a5a3f976,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,0,1.0,,,True,['API_01_D3A169'],True,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
admission_confirmatory,True,False,[],False,False,600,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget600::run1,200,False,11debc391bfcd065571bf582a26d384c5a7dc88d2fd1ef171331c68e53b7c628,open_weight_supplement_admission_not_primary,4096,False,mature_ssr_loop,d7bbe6554229641376d6c6a47b97b6884587bf24e387be04635e3570ed5e5143,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,ce3bde7b423ffef8841c59a7d081309df92843eaf068d6d36bd2cc6efef42bf3,False,[],False,openrouter,3,Alibaba,['alibaba'],alibaba/opensource,unknown,e939229ad749e96df4a29e1e2554ba7a435bd2654b780d357b5619d26d8a3dce,False,not_exposed_not_requested,0,True,True,qwen/qwen3-coder,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::mature_ssr_loop::budget600::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
admission_confirmatory,True,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget1200::run1,200,False,8176af933bde1402f27e38c2ad6b7a6da4624aa6e205ab1bdbe5ab7666bbe3b1,open_weight_supplement_admission_not_primary,4096,False,rolling_summary,bded187caca6e4d07dac937dc0c7d75aac310dd7788293535527241ff928da34,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,2a3c19a1fe373665fbdc19f347dce4f2dcba1caa8c731ba7c66fe18dbfbd56f0,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,ef9644bccf93423130e96c9f808c3730d8fff649a7eb53deb528e55a9eb390f3,False,not_exposed_not_requested,0,True,True,qwen/qwen3-coder,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget1200::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['SUMMARY'], 'required_token_present_in_state': True}",True,True,False,False,0.666667,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
admission_budget300_diagnostic,False,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,False,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget300::run1,200,False,fc8d2d8e70d3516157349d8755161840b72eab6f221854367ee2a8377ef41ed6,open_weight_supplement_admission_not_primary,4096,True,rolling_summary,7d4720f64cb7a53aadbfe4f1701a9d651d84a946383694862ce4dfadf76ed17e,['API_01_C1FFF0'],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,1d08fb9ad3cdfaa5a436b8e624297a1a6fe595c17cbf4ee825bf36b80e6a653e,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,9fd01e869c032e620b14df65fb83b343e13b8d15c1ccb5963407be15ea3107f2,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,1,0.5,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': True}",False,False,True,True,0.5,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
admission_confirmatory,False,False,[],False,False,600,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget600::run1,200,False,89a81437e814ef45fb54009c19adedebe80cc874bff6e09e6cb5cc47c1778f88,open_weight_supplement_admission_not_primary,4096,True,rolling_summary,33fd0356516a005802b7cb87b3911102deca24b7c411d6298a3b9edeabedc26c,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,225cda4d3349cd50c04eaca95d0501e5613843f9ea7ae51c7db44700def0abbf,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,e3ba28611898357ccb152492919bc279e9b223fa44f283d17fb4e2f9f35af491,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_summary::budget600::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['RAW'], 'required_token_present_in_state': True}",False,False,True,True,0.5,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
admission_confirmatory,True,False,[],False,False,1200,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,True,True,provider_final_call,stop,[],False,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget1200::run1,200,False,b627f15960c41be8599e29811bc3bcca32e4e8893f30d169a958a73963c0b4d9,open_weight_supplement_admission_not_primary,4096,False,rolling_visible_carry_forward,4f45dc7ce25a15260eb29b2da626299d383ee51791ca4c52b50866ff4b0ff067,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,False,25390ff591bdbc4f6f7f00ec76233f8ba26f7139d3ebce40258d687c4883fca0,False,[],False,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,631da3853124f88a622c763973cbc1a1daa3e81d7ebcd918ac0825ca19780999,False,not_exposed_not_requested,0,True,True,qwen/qwen3-coder,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget1200::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['BOUNDARY', 'NOTE'], 'required_token_present_in_state': True}",True,True,False,False,0.5,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
admission_budget300_diagnostic,False,False,[],False,False,300,False,qwen/qwen3-coder-480b-a35b-07-25,qwen/qwen3-coder-480b-a35b-07-25,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission,False,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_open_weight_qwen3_coder_supplement_20260629_admission::pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget300::run1,200,False,0d8cc367306b86b71ffb7c1323b95974cf945964e5c900d2aabbb380eb4ae086,open_weight_supplement_admission_not_primary,4096,True,rolling_visible_carry_forward,d3ebc9e9e3902d56cf193846830b9bb435a21a6e0cce92060288b99d8d4e5fb0,[],qwen/qwen3-coder,openrouter_qwen3_coder_alibaba_supplement,True,True,True,ace2361432e9b4f9032a1d827d27a7c0fa9a4746242400d5108e437a7f8d3de6,False,['API_01_C3B486'],True,openrouter,4,Alibaba,['alibaba'],alibaba/opensource,unknown,cd4459335e8e8abf43e1e1ee38ca21a8a9550e49eec953e4c89efe6bb4d98ce4,False,not_exposed_not_requested,0,False,False,qwen/qwen3-coder,0,1.0,openrouter_post_pause_bounded_backoff_20260627,d442eea2b13ebff498813c0aed5922a55f5c65facfeedf79bfad65fae9e19a30,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::openrouter_qwen3_coder_alibaba_supplement::rolling_visible_carry_forward::budget300::run1,1,pcg_dynamic_state_v2.open_weight_qwen3_coder_supplement_score_row.v1,,True,qwen/qwen3-coder-480b-a35b-07-25,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['NOTE', 'VISIBLE_KEEP'], 'required_token_present_in_state': True}",False,False,True,True,0.5,False,True,0.0,not_requested,open_weight_qwen3_coder_supplement_20260629,admission,artifact/protocol/main_matrix/OPEN_WEIGHT_QWEN3_CODER_SUPPLEMENT_PROTOCOL_20260629.md,pcgds_v2_00001_api_migration_state_transition_easy,0,not_requested,not_sent,1
