answer_success,backend_error,blocked_path_hits,blocked_path_leakage,boundary_violation,budget,exclusion_field_conflict,expected_model_string,experiment_id,final_attempt_count,final_exact_success,final_json_parse_success,final_output_construction,finish_reason,forbidden_token_hits,forbidden_token_leakage,global_artifact_id,http_status,local_transport_path_failure_detected,logical_request_hash,matrix_role,mechanical_carry_failure_mode_detected,method,metric_record_sha256,missing_required_tokens,model,model_condition_id,openrouter_runtime_hardening_applied,output_bearing_state_conflict,parsed_output_sha256,primary_analysis_eligible,protected_token_hits,protected_token_leakage,provider,provider_call_count,raw_response_sha256,reasoning_content_present,reasoning_tokens_observed,record_mode_created_at_utc,record_mode_role,reliable_composite_success,reliable_success,requested_model,required_token_missing_count,required_token_recall,retry_policy_id,retry_policy_sha256,returned_model_match,revoked_token_hits,revoked_token_leakage,row_id,run_id,schema_version,score_error,score_row_emitted,selected_model_or_returned_model,stale_token_hits,stale_token_leakage,state_carry_surface_present,state_forbidden_token_negated,state_forbidden_token_present,state_governance_audit,state_governance_success,state_governance_success_legacy_no_conflict_only,state_hard_cap_used,state_internal_conflict,state_label_accuracy,state_required_token_negated,state_required_token_present,state_transition_accuracy,task_id
False,False,[],False,False,1200,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget1200::run1,200,False,b29b105fb85ed9e8e1be585050472c0718f58ec0d7ab48b0410822ad88724ced,confirmatory_primary,True,loop_only,a64eb3d7c3f1a897198e9d0c55e274973bd01dce28dde652e6abfcba68a17465,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen3.7-max,qwen37max,False,False,230d5ec9cdb7dd1e0e84888d11f548006c5179aeb20f905347f543a342dac72d,True,[],False,dashscope,4,1b3cf1457e6548a3d96904ac88dc953f6cf9a1901e719918287ae8a987cd8993,False,,2026-06-28T17:26:42Z,confirmatory,False,False,qwen3.7-max,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget1200::run2,200,False,ff9ef905c5de5707b05076c71d820a014ab6dda674cc82b0965f46c405d5200d,confirmatory_primary,True,loop_only,92d9fcb0fb33736cad33b8fa0d432492302b52779704c1fea42b3f27f060b459,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen3.7-max,qwen37max,False,False,2ae01dbb5094d6b71f0d423372180d97b58889ccd8f0c9c5093792da473afc9c,True,[],False,dashscope,4,5bba610e514a9da4bc10afb0aa78a8e1040b2a2c231e87ed9b0924e79d1d42cf,False,,2026-06-28T17:26:41Z,confirmatory,False,False,qwen3.7-max,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget1200::run3,200,False,243db4330fd74e909fb016712849f38210ad826c7e631ec8f1aadbdf8e729a7d,confirmatory_primary,True,loop_only,14865dd6869e89a5d653ba0ef8e505eeb3961c3df54d7bf486dbcf89ce12aa81,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen3.7-max,qwen37max,False,False,f744f0d59a437e779903e41a774d5714a642df2799c8b64895c3f39496716666,True,[],False,dashscope,4,891e83b06580f9c9baf23f5eae3b069f45c7284302f92644cdea9a2512d5472b,False,,2026-06-28T17:26:42Z,confirmatory,False,False,qwen3.7-max,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget600::run1,200,False,b031d367483b0467d55b04acecc52b89a90c0ed209eef9dbe41bd29f26339b63,confirmatory_primary,True,loop_only,feed0a5787071f68365c355e0cff6637dd308d2ceebbc2d1b537d71366397b47,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen3.7-max,qwen37max,False,False,59678bcbd78b7e36450e312f7b22314873a2c4f59a6ffd8a0a730a095c73b762,True,[],False,dashscope,4,19aeb17953b2e5ff4a379e1876ff377dda91b11a87d979018be1d760cf3b6bf2,False,,2026-06-28T17:26:41Z,confirmatory,False,False,qwen3.7-max,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget600::run2,200,False,0f971fbfc90489f4500c2f1f2cf8ad06a670e196da6b259e1cdbc1b97ac77c20,confirmatory_primary,True,loop_only,09905f455fe8ca870c011cbc0a957adebb6de6cf76cfcb16383c66a98ed03fcb,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen3.7-max,qwen37max,False,False,ae87ce81c211373ebec7c1a1505b804c43bc3b2e8d2d4d83a818bf6fae78ef75,True,[],False,dashscope,4,5f969e17c693b7628c93b72c332d3b2f287685ebf413904fbe1738f38eedf071,False,,2026-06-28T17:26:42Z,confirmatory,False,False,qwen3.7-max,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget600::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,600,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,provider_final_call,stop,['API_01_FD3DD7'],True,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget600::run3,200,False,502f2f82bf12317e3bbce1fe180df1ff5a354a989b78328abc8b540f5f401792,confirmatory_primary,True,loop_only,53e232f3805f55da3a869ad037b61b1860a4384c2f075dfd277cedada5a8b35c,"['API_01_10BBFA', 'API_01_C1FFF0']",qwen3.7-max,qwen37max,False,False,63229482965c234d84bac3f0c935799d0b12f441e69ca876fc21afbda69abdf8,True,[],False,dashscope,4,0b75af812ec2d3f6d9e7f9afd1f16f3820714e3ecff42ab0fc03bd7e7897d8fc,False,,2026-06-28T17:26:40Z,confirmatory,False,False,qwen3.7-max,2,0.0,frozen_two_attempt_policy_20260625,88e849f6835c223ba1718c7360d85bdfeb9fb1dffafd57ec28a2739c22926a09,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::loop_only::budget600::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,False,True,True,"{'allowed_path_present_in_state': False, 'non_empty_state': True, 'output_bearing_state_field_present': False, 'parsed_state_fields': ['CURRENT_GOAL', 'GAP', 'NEXT_MISTAKE_TO_AVOID'], 'required_token_present_in_state': False}",False,True,False,False,0.166667,False,False,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget1200::run1,200,False,82da6e8bb5db6da0c8d2838cc6954c4fce0ab5af30ea9c678b0125a91d1d668c,confirmatory_primary,True,mature_ssr_loop,7740999a86288fac4537bb92fb445ebb40a2ad558735d1594251f18a77199e59,[],qwen3.7-max,qwen37max,False,True,2b16002adf79774dcc7b2af1f2a4b2c56ca5bac27f2d107e6b81af0981952c09,True,['API_01_C3B486'],True,dashscope,3,7c798b52294c0c1dab6bd549654e9f3f99b35903d40eceff36f055e34d15a329,False,,2026-06-28T17:27:28Z,confirmatory,False,False,qwen3.7-max,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget1200::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
False,False,[],False,False,1200,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,False,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget1200::run2,200,False,74f2b9da05f7c80b83e1c2aeca18db375dde14213d618fea881ddfbfab753801,confirmatory_primary,True,mature_ssr_loop,2084f7c349e5f5f4644d85c015a57fb9ba8e38399f07e78a597409d0ac758874,[],qwen3.7-max,qwen37max,False,True,2b7a9089d22007a84929cc4ce8506569bed9fcf499fd5e967e22a51e463877eb,True,['API_01_C3B486'],True,dashscope,3,b8a76ab12b951305bd1398fc19835a1d8eca64538fd543a4f1f14214fda2346b,False,,2026-06-28T17:27:30Z,confirmatory,False,False,qwen3.7-max,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget1200::run2,2,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,['API_01_FAF489'],True,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",False,False,False,True,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,1200,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget1200::run3,200,False,94ca214467315211c64946c3a109db5b5f42e1a032d06bb19db532aeebe829eb,confirmatory_primary,False,mature_ssr_loop,7217bb8319fdf857fc182c800d21365ea7aac6697fc293856590e793b664b6d6,[],qwen3.7-max,qwen37max,False,False,ef02ae5b1ed4e0630e1625cb1aa60e2459a2a0932da90e1e7f105e7caea1d549,True,[],False,dashscope,3,46e1917f569bdc4f22cc67131e58b44005e5473b7e61b506e217c5af9a4a0b6f,False,,2026-06-28T17:27:33Z,confirmatory,True,True,qwen3.7-max,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget1200::run3,3,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
True,False,[],False,False,600,False,qwen3.7-max,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625,1,True,True,deterministic_mature_ssr_slot_compiler,stop,[],False,pcg_dynamic_state_v2_confirmatory_40task_5model_6method_2budget_3run_20260625::pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget600::run1,200,False,602efc40a993b50ceef5280b36739822fec03ee7ed2fa19551038c8ef4e6d343,confirmatory_primary,False,mature_ssr_loop,a8db27c5ba1fe1c70751cb7ab08036bfad3450474de5a9dbc9b836211d959251,[],qwen3.7-max,qwen37max,False,False,1ea70a503fd5654ed0a094a4c95dc8743c31c0647326bbc6066cffb5a9e0b4bd,True,[],False,dashscope,3,e11aee442652b302818174193baed6f12658648f38bba26ca7d374a0612897d4,False,,2026-06-28T17:27:24Z,confirmatory,True,True,qwen3.7-max,0,1.0,,,True,[],False,pcgds_v2_00001_api_migration_state_transition_easy::qwen37max::mature_ssr_loop::budget600::run1,1,pcg_dynamic_state_v2.main_matrix_score_row.v1,,True,qwen3.7-max,[],False,True,True,True,"{'allowed_path_present_in_state': True, 'non_empty_state': True, 'output_bearing_state_field_present': True, 'parsed_state_fields': ['ACTIVE', 'ALW', 'B', 'CK', 'G', 'LOOP', 'N', 'NO', 'OUT', 'REVOKED'], 'required_token_present_in_state': True}",True,True,False,False,0.0,False,True,0.0,pcgds_v2_00001_api_migration_state_transition_easy
