method,budget,rows,hard_cap_any_count,hard_cap_any_rate,answer_success_count,answer_success_rate,reliable_success_count,reliable_success_rate,state_governance_success_count,state_governance_success_rate,final_exact_success_count,final_exact_success_rate
loop_only,300,30,30,1.0,0,0.0,0,0.0,0,0.0,0,0.0
loop_only,600,30,20,0.666667,0,0.0,0,0.0,0,0.0,0,0.0
loop_only,1200,30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
mature_ssr_loop,300,30,22,0.733333,2,0.066667,1,0.033333,6,0.2,2,0.066667
mature_ssr_loop,600,30,12,0.4,2,0.066667,1,0.033333,5,0.166667,2,0.066667
mature_ssr_loop,1200,30,2,0.066667,2,0.066667,1,0.033333,6,0.2,2,0.066667
rolling_summary,300,30,23,0.766667,4,0.133333,0,0.0,9,0.3,4,0.133333
rolling_summary,600,30,15,0.5,5,0.166667,1,0.033333,15,0.5,5,0.166667
rolling_summary,1200,30,6,0.2,4,0.133333,1,0.033333,10,0.333333,4,0.133333
rolling_visible_carry_forward,300,30,30,1.0,4,0.133333,1,0.033333,1,0.033333,4,0.133333
rolling_visible_carry_forward,600,30,19,0.633333,22,0.733333,8,0.266667,10,0.333333,22,0.733333
rolling_visible_carry_forward,1200,30,5,0.166667,20,0.666667,10,0.333333,17,0.566667,20,0.666667
rolling_visible_fields_only,300,30,30,1.0,0,0.0,0,0.0,0,0.0,0,0.0
rolling_visible_fields_only,600,30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
rolling_visible_fields_only,1200,30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ssr_no_visible_carry,300,30,19,0.633333,9,0.3,4,0.133333,15,0.5,9,0.3
ssr_no_visible_carry,600,30,6,0.2,7,0.233333,0,0.0,10,0.333333,7,0.233333
ssr_no_visible_carry,1200,30,5,0.166667,5,0.166667,0,0.0,7,0.233333,5,0.166667
