packet_id,global_artifact_id,task_id,method,budget,run_id,provider,model,answer_success,state_governance_success,reliable_composite_success,existing_h5_chain_hash,release_row_h5_sha256,h5_status
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00001_api_migration_state_transition_easy::loop_only::budget600::run1,pcgds_v2_00001_api_migration_state_transition_easy,loop_only,600,1,deepseek,deepseek-v4-pro,False,True,False,5a691893969ed42fbe5ccd9767db47efacf6568af2ce7294dea8c0b2dd55fd62,975aab903f4c1f285b4beb4de8380c5d145eba081ba49426d2775f0980770296,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00001_api_migration_state_transition_easy::loop_only::budget1200::run1,pcgds_v2_00001_api_migration_state_transition_easy,loop_only,1200,1,deepseek,deepseek-v4-pro,False,True,False,dae8421aa0be9d75fa892966c11f50978ff7a78405866a66eee26a14ec558741,ee5b2fd368d83800e2c24cd4c28509709716f0b328b4259185302e4a351bf433,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00001_api_migration_state_transition_easy::mature_ssr_loop::budget600::run1,pcgds_v2_00001_api_migration_state_transition_easy,mature_ssr_loop,600,1,deepseek,deepseek-v4-pro,False,False,False,52ecbfc3f1419459a4206e02a571e8fb3bf571fa542d3bf73b16226a9fe2ed61,ee6fe00a40800768cc43b3bfbeaf2cc7367213369b8553f83fbe1689926b00e2,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00001_api_migration_state_transition_easy::mature_ssr_loop::budget1200::run1,pcgds_v2_00001_api_migration_state_transition_easy,mature_ssr_loop,1200,1,deepseek,deepseek-v4-pro,False,False,False,503fbc80d3c8cd1f063bf60564140929351fd7f5b0ed9b213625d03e43cdd943,2d7af4d4c4a68979252fd8875df10d65ce0394be852f1e2090d6565fe7b5e712,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00001_api_migration_state_transition_easy::rolling_summary::budget600::run1,pcgds_v2_00001_api_migration_state_transition_easy,rolling_summary,600,1,deepseek,deepseek-v4-pro,False,False,False,510673181b5a977ca791ff9e30f70ac139d77fa1886efab85c36bf9f400c354f,bc0a4cbb267d130c7df131b28ed636a6aca9a217dab5be430a0fe764d8705e02,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00001_api_migration_state_transition_easy::rolling_summary::budget1200::run1,pcgds_v2_00001_api_migration_state_transition_easy,rolling_summary,1200,1,deepseek,deepseek-v4-pro,True,True,True,70e0d54907527565840ea28a3744c28f36243701cc757a8343c09896d97cb79f,0ff121a7a48b2b4f157efc146ffde45f2d015cee1bb62a87eccd5e05a3d41d8d,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00001_api_migration_state_transition_easy::rolling_visible_carry_forward::budget600::run1,pcgds_v2_00001_api_migration_state_transition_easy,rolling_visible_carry_forward,600,1,deepseek,deepseek-v4-pro,True,True,True,e459810cab0bbfafa9187478e578e4c0e6f3c17d3a2e8825c8f9705eff4e03b7,e4d87a62492dff91705f9e7b498d0a8cb3f0f89550be01357c59141ce6c70d8c,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00001_api_migration_state_transition_easy::rolling_visible_carry_forward::budget1200::run1,pcgds_v2_00001_api_migration_state_transition_easy,rolling_visible_carry_forward,1200,1,deepseek,deepseek-v4-pro,True,True,True,90fdcc4efb16fbe1272c3f1ad8b706b2257bfad97802b3afa7da3189d7420ce4,31af5a9a350f0aac83b684ab3d9485d0db6a66629103eeccd8f80c6ce8630a2b,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00002_api_migration_state_transition_easy::loop_only::budget600::run1,pcgds_v2_00002_api_migration_state_transition_easy,loop_only,600,1,deepseek,deepseek-v4-pro,False,True,False,0b21cdada79d95533d681cae6e04f6047edecaae3bf66442086376e78b97af37,3de6b98aa4d217c1c91e4cc0d4a8b6f2b36f0669341df8d3ba66983427e260b3,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00002_api_migration_state_transition_easy::loop_only::budget1200::run1,pcgds_v2_00002_api_migration_state_transition_easy,loop_only,1200,1,deepseek,deepseek-v4-pro,False,True,False,504bfff8a6e1773131e516456649049e0558d1156c249b84270daa9c4cea898d,68a2aa4dd269ad2ef14a1167fd8f3b0fd6a1d479ca1d6d5ab55961758491e1ad,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00002_api_migration_state_transition_easy::mature_ssr_loop::budget600::run1,pcgds_v2_00002_api_migration_state_transition_easy,mature_ssr_loop,600,1,deepseek,deepseek-v4-pro,False,False,False,c5b35c3c189762b39646db135341ad1d94bdfb889a43d4dc99e80717aba124f4,625604c6d7fb273f70a8e7272551a5d2dbe4331941d96b218980f5fcb06a2c82,H5_PRIVATE_RAW_LOCK
deepseek_decisive_104,_probe_ecvs_deepseek_v4pro_pcg_dynamic_state_v2_e10_h3_decisive_13task_4method_2budget_1run::pcgds_v2_00002_api_migration_state_transition_easy::mature_ssr_loop::budget1200::run1,pcgds_v2_00002_api_migration_state_transition_easy,mature_ssr_loop,1200,1,deepseek,deepseek-v4-pro,False,False,False,ca6bc0ea0b11f9766137da2c14a7aadad2bfda6688f9096722720e55d46b999c,6321b33c566394c5fa08c3804dd8a124e96deb21a9f06b79b92eb6c5027d266d,H5_PRIVATE_RAW_LOCK
